,id,host_id,host_response_rate,host_total_listings_count,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,score
60,8095168,3521823,94.88679817905918,2.0,f,West Queen Anne,Apartment,Private room,2,1,1.0,1.0,1.0,70.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.971675515
61,2746782,4016632,100.0,5.0,t,West Queen Anne,Apartment,Entire home/apt,2,1,1.0,0.0,1.0,90.0,109,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0.97543627
62,6424982,33524725,100.0,1.0,f,West Queen Anne,House,Private room,2,2,1.0,1.0,1.0,80.0,52,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.9901326890000001
64,8988281,46954097,67.0,1.0,f,West Queen Anne,House,Entire home/apt,4,4,1.0,2.0,2.0,175.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
65,7077910,2843411,100.0,1.0,f,Adams,House,Entire home/apt,6,6,2.5,3.0,4.0,170.0,9,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0.971635461
66,3772674,18232665,100.0,1.0,f,Adams,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,85.0,65,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9663197990000001
67,7021906,28770702,100.0,4.0,t,Adams,House,Entire home/apt,12,1,3.5,5.0,7.0,465.0,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.96985054
68,7618605,5326074,100.0,1.0,f,Adams,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,175.0,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.98721981
69,10234558,31887689,100.0,1.0,f,Adams,Condominium,Private room,2,0,1.0,1.0,1.0,50.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.818357825
70,7021702,36805437,94.88679817905918,1.0,f,Adams,Apartment,Private room,2,1,1.0,1.0,1.0,60.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9117065670000001
71,7680439,1612983,100.0,1.0,f,Adams,House,Private room,2,1,1.0,1.0,1.0,59.0,16,93.0,9.0,10.0,10.0,10.0,10.0,10.0,0.9328721759999999
72,4258515,841009,90.0,1.0,f,Adams,Apartment,Private room,4,2,1.0,1.0,4.0,47.0,23,77.0,8.0,8.0,9.0,9.0,9.0,8.0,0.998725712
73,1148517,6296335,100.0,1.0,f,Adams,House,Entire home/apt,4,4,1.0,2.0,2.0,145.0,45,97.0,9.0,9.0,10.0,10.0,10.0,9.0,0.98743695
74,2487892,1343908,100.0,1.0,f,Adams,House,Private room,2,1,1.0,1.0,1.0,70.0,75,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0.961701274
75,3038772,15473800,100.0,1.0,f,Adams,House,Private room,2,1,1.0,1.0,1.0,55.0,86,94.0,9.0,10.0,10.0,10.0,10.0,10.0,0.964331686
76,699460,3587674,100.0,1.0,t,Adams,House,Private room,4,2,1.0,1.0,2.0,95.0,151,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.901290059
